shoe_id,brand,model,version,full_name,alias_code,is_daily_trainer,is_recovery_shoe,is_workout_shoe,is_race_shoe,is_trail_shoe,is_walking_shoe,cushion_softness_1to5,bounce_1to5,stability_1to5,rocker_1to5,ground_feel_1to5,weight_feel_1to5,weight_g,heel_drop_mm,has_plate,plate_tech_name,plate_material,fit_volume,toe_box,width_options,support_type,heel_geometry,surface,wet_grip,release_status,release_year,release_quarter,retail_price_category,why_it_feels_this_way,avoid_if,similar_to,notable_detail
shoe_0001,HOKA,Bondi,9,HOKA Bondi 9,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,4,2,1,4,297,5,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q1,Premium,"The extremely thick EVA midsole heavily softens impact and isolates you from the ground, prioritising comfort and protection over agility. A mild rocker helps smooth transitions, but the focus is on stable, cushioned cruising rather than quick or nimble movement.","Avoid if you prefer a lighter, more agile max-cushion shoe, as the Bondi 9 still feels bulky despite refinements.","Nike Vomero Plus, New Balance Fresh Foam X More v6, Brooks Glycerin Max",Uses a high-stack supercritical EVA midsole that feels smoother and more controlled than earlier Bondis rather than overly soft.
shoe_0002,HOKA,Clifton,10,HOKA Clifton 10,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,4,2,3,2,1,4,275,8,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q2,Core,"Its tall EVA midsole and mild rocker smooth landings and transitions, creating a protective ride that feels comfortable and cruisy rather than springy","Avoid if you loved the Clifton’s historically lightweight, nimble feel, as this version is heavier and more cushioned.","ASICS Gel Nimbus 27, Brooks Glycerin Max, New Balance Fresh Foam X 1080 v14",The Clifton 10 pushes further into max-cushion territory with increased stack height and a more relaxed fit.
shoe_0003,Nike,Vomero Plus,,Nike Vomero Plus,Vomero +,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,4,4,2,1,4,289,10,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q3,Core,"A full-length ZoomX midsole compresses deeply and rebounds quickly for soft cushioning with noticeable bounce, while the broad base keeps it more controlled than wobbly.","Avoid if you want something you can pick up the pace in, as the max stack and heavy feel make it better for easy cruising than faster work.","HOKA Bondi 9, Saucony Triumph 23, PUMA MagMax NITRO","Known for its ZoomX midsole that delivers a very soft, bouncy ride reminiscent of the original Invincible Run."
shoe_0004,Nike,Vomero Premium,,Nike Vomero Premium,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,4,2,4,1,5,326,10,FALSE,,,standard,narrow,standard only,neutral,standard,road,average,available,2025,Q4,Super-premium,"The very high ZoomX stack plus Air units creates deep, springy cushioning and a pronounced rocker-driven roll, but the tall build can feel bulky and less stable.","Avoid if you dislike extremely tall, heavy shoes or need stability, as the massive stack can feel unwieldy.","Saucony Triumph 23, Mizuno Neo Zen, New Balance Fresh Foam X More v6",Features an extreme midsole height with layered ZoomX and Air units for an unusually trampoline-like feel.
shoe_0005,New Balance,Fresh Foam X More,v6,New Balance Fresh Foam X More v6,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,3,4,2,1,5,302,4,FALSE,,,standard,narrow,standard and wide,stable_neutral,standard,road,average,available,2025,Q3,Core,"An oversized Fresh Foam X midsole on a broad platform spreads impact widely for ultra-soft cushioning with built-in stability, but the huge stack feels more cruiser than nimble.","Avoid if you want ground feel or a natural ride, as the towering, soft platform isolates you from the road.","HOKA Bondi 9, Brooks Glycerin Max, Nike Vomero 18","New Balance’s most cushioned trainer, built around an ultra-thick Fresh Foam X midsole tuned for comfort."
shoe_0006,ASICS,Novablast,5,ASICS Novablast 5,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,4,3,3,2,2,254,5,FALSE,,,high,standard,standard only,stable_neutral,standard,road,good,available,2024,Q4,Core,"The high-stack FF Blast MAX foam stores and releases energy effectively, creating a lively feel while maintaining a reasonably stable platform.","Avoid if you want a very planted, guidance-heavy ride, as the lively foam and higher stack can feel a bit free-moving, especially on corners or camber.","Salomon Aero Glide 3, New Balance FuelCell Rebel v5, Adidas Adizero EVO SL","Uses FF Blast Max foam for a softer, bouncier ride while maintaining the Novablast’s playful geometry."
shoe_0007,Brooks,Glycerin Max,,Brooks Glycerin Max,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,2,4,2,1,5,305,8,FALSE,,,standard,standard,standard only,stable_neutral,standard,road,average,available,2024,Q4,Premium,"A tall DNA Tuned midsole absorbs impact generously and uses a mild rocker plus wide base to guide a steady, controlled stride, feeling more damped than springy.","Avoid if you want a responsive or fast-feeling shoe, as the ride prioritises plushness over energy return.","HOKA Bondi 9, New Balance Fresh Foam X More v6, Nike Vomero 18","Brooks’ tallest shoe ever, designed as a pure comfort cruiser with a very soft, protective midsole."
shoe_0008,New Balance,Fresh Foam X 1080,v14,New Balance Fresh Foam X 1080 v14,1080,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,3,2,2,4,285,6,FALSE,,,standard,narrow,standard and wide,stable_neutral,standard,road,good,available,2024,Q4,Premium,"Its high Fresh Foam X stack and refined rocker dampen impact smoothly, leading to a cushioned ride that feels slightly muted rather than energetic.","Avoid if you dislike very soft, muted cushioning or prefer a roomy toe box.","Nike Vomero Plus, ASICS Gel Nimbus 27, Saucony Triumph 23","Updates the 1080 with more stack and softness, shifting it closer to a true max-cushion daily trainer."
shoe_0009,Nike,Pegasus,41,Nike Pegasus 41,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,3,3,4,4,281,6,FALSE,,,standard,standard,standard only,stable_neutral,standard,road,poor,available,2024,Q2,Core,"ReactX with Zoom Air gives a firmer, more connected ride with modest pop and a smooth transition, making it a steady all-rounder rather than a plush cruiser.","Avoid if you run frequently on wet surfaces, as outsole grip is limited.","ASICS Gel Cumulus 27, Brooks Ghost 17, New Balance Fresh Foam 680 v8","Introduces ReactX foam, making the Pegasus softer and more forgiving than previous versions."
shoe_0010,Nike,Vomero,18,Nike Vomero 18,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,3,2,3,4,298,10,FALSE,,,standard,narrow,standard and wide,stable_neutral,standard,road,poor,available,2025,Q1,Core,"The layered ZoomX-over-ReactX setup softens landings and adds stability, with a modest amount of rebound rather than strong pop.","Avoid if you want a lightweight daily trainer, as this version is noticeably heavier.","Brooks Glycerin Max, Saucony Triumph 23, New Balance Fresh Foam X 1080 v14","Combines ZoomX over ReactX for a soft-yet-durable ride aimed at long, steady mileage."
